Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Unique Tutorials                  ,N/A,N/A,Rohini,B-4/164 Sector-8,Delhi,110085,India,https://www.myprivatetutor.com/userfiles/centers/center1442566071.jpg,"Accountancy, Anthropology, Bengali, Bio Technology, Biology, Botany, Business Maths, Business Organisation, Business Studies, Chemistry, Commerce Subjects, Costing, Economics, Education, English, EVS, Fashion Study, Food & Nutrition, Geography, Hindi, History, IT & Computer Subjects, Logic, Mathematics, Philosophy, Physics, Physiology, Political Science, Psychology, Sociology, Statistics, Zoology, All Subjects, Computer Science, Mental Maths, NTSE, Olympiad Exam Preparation, School level computer, Social Studies, GATE Exam, Aeronautical, Chemical, Civil, Computer, Drawing, Electrical, Electronics, Instrumentation, IT, Mechanical, Production, AIPMT, Medical Entrance Exams, PG Medical / AIPG, MDS, CAT (MBA Entrance), CLAT (Law Entrance), GMAT, GRE, IELTS, IIT JEE, SAT, TOEFL","
	We welcome students who are prepared to interface their experience and diverse backgrounds with our high-end educational programmes, for their transformation to a developed personality prepared to face not only competitive examinations but also succeed in modeling successfully their respective career paths. "
Word Play                  ,N/A,N/A,Roop Nagar,"4/40, Roop Nagar, Delhi",Delhi,110007,India,,Summer Camps,"

		Fully Air Conditioned

		Doctor on Call 

		Theme Based Classrooms 

		Well Equipped Library 

		ctivity Area 

		Computer Centre and many more
"
Aadyant                  ,N/A,N/A,Vasant Kunj,"10-11, Nelson Mandela Marg 
Vasant Kunj, New Delhi",Delhi,110070,India,,Summer Camps,"
	Aadyant is a well reputed educational organization associated with child development, using highly researched and practically sound techniques. It is at Aadyant where education is about imparting knowledge, its about encouraging children to do significant things with what they have learnt. Our curriculum focuses on inquiry-based learning. This curriculum invites children to hypothesize, theorize, predict, problem solve, construct and document their developing understandings of the world in which they live. Our approach acknowledges the socio cultural principle that children learn from quality interactions and relationships with people, places and things, exploring and discovering in an affirmative environment."
Youreka                  ,N/A,N/A,Saket,"262 Westend Marg, Saidulajab, Saket",Delhi,110017,India,,Summer Camps,"
	Youreka is one of the largest adventure based learning institute. We are dedicated towards providing meaningful and unforgettable adventure experiences which have often been life changing. We have designed a safe environment in natural settings where we engage participants deeply in adventure activities."
Moving Souls                  ,N/A,N/A,Saket,"Moving Souls Entertainment, Pvt. Ltd. 21 Avenue, G Block
Young Women's Association
(near PVR Cinema)
Saket, Delhi",Delhi,110017,India,https://www.myprivatetutor.com/userfiles/centers/center1461749725.jpg,"Modern Bollywood Dance, Western Dance, Arts & Crafts, Summer Camps","
	Moving Souls is a well reputed training academy as well as dance entertainment troupe based in Delhi. We are recognized world wide for our inspiring dance teachers and world-class performances. Our institute was established to break down barriers and spread the magic of dance."
First Step                  ,N/A,N/A,Laxmi Nagar,"206, Bank Enclave, Near L.P.S, Delhi",Delhi,110092,India,,Summer Camps,"
	First Step Learning school was started with the goal quality educational services to students and help them attain their maximum potential. We always focus on catering to the original requirements of the students. The trainers are all experienced, well qualified and are dedicated towards bringing the best in our students."
Grandmothers Arm                  ,N/A,N/A,Shakarpur,"3rd Floor- 3A Jaina Complex, Gali Number 1, Veer Savarkar Block, 1, Madhuban Rd, Dayanand Colony",Delhi,110092,India,https://www.myprivatetutor.com/userfiles/centers/center1461749635.jpg,Summer Camps,"
	Grandmothers Arm was established with the sole purpose of educating young minds and creating the emerging leaders of tomorrow. We are known for our commitment towards impacting a synergy of skills, knowledge, and values in our children to lend them their inner voice for the 21st century. We offer a constructive and organized learning atmosphere where children are introduced to indispensable learning methods such as self-exploration and realization."
Step Out                  ,N/A,N/A,Sarita Vihaar,"E 49, Sarita Vihar",Delhi,110076,India,,Summer Camps,"
	Step Out is a venture of Green View Voyage Pvt. Ltd. It was started with the purpose of providing adventure experiences at the most unique and unexplored areas which are not easy to access at individual level. We are supported by well experienced staffs who are well trained and experienced in various adventure sports."
Cynosure                  ,N/A,N/A,Defence Colony,"C-446, Defence Colony, Delhi",Delhi,110049,India,https://www.myprivatetutor.com/userfiles/centers/center1461749600.jpg,"Acting & Drama, Summer Camps","
	Cynosure was established with the aim to provide the infrastructure to assist and nurture the growth of theatre, and encourage new talent in the city. We are supported by a team of creative, committed and talented professionals. We guide each student with highly interactive, creatively structured workshop modules. We always try to provide a comfortable and holistic environment for youngsters to nurture their talent and develop an appreciation of theatre, literature and the arts."
Delhi Photography Club                  ,N/A,N/A,Hauz Khas,"Shahpur Jat Village, Delhi",Delhi,110049,India,,"Summer Camps, Photography","
	Delhi Photography Club serves as a unique platform for beginners and photography enthusiasts. It is the right place for anyone who wants to learn photography. We offer a number of courses, workshops and group activities helping each and individual coming to us. We also provide opportunity to our students to showcase their talents in several exhibitions organized by us so that the world may see what they can do."
Craft Village                  ,N/A,N/A,Mahipal Pur,"19B, Shivji Marg, Westend Greens Farms, Ranpuri",Delhi,110037,India,https://www.myprivatetutor.com/userfiles/centers/center1461749548.jpg,"Arts & Crafts, Cooking & Baking, Drawing & Painting, Summer Camps","
	Craft Village provides residential programs in the field of design, art and culture, and self exploration. Our institute serves as a suitable place for artists who are looking for short term spaces to expand their creation and develop their ideas into a sustainable form. We offer a trans-disciplinary approach to improve the quality of life of crafts persons by providing formal contemporary design and product development through design-technology-skill development programs and workshops on regular basis."
Shiamak                  ,N/A,N/A,Connaught Palace,"1213,12th Floor, New Delhi House, Barakhamba Road, Connaught Place, Next To Barakhamba Metro Station,
New Delhi",Delhi,110001,India,https://www.myprivatetutor.com/userfiles/centers/center1461749522.jpg,"Modern Bollywood Dance, Western Dance, Summer Camps","
	Shiamak is a well reputed Dance training institute offering specially designed programs for children in various Dance forms. We conduct dance workshops, seminars, individual training sessions which are customized based on the individual or group learning requirement. We offer programs that are designed specifically based on the age group of the students. The sessions are accompanied by creative movements, exercises, dance based activities."
Cutie Pie Kids                  ,N/A,N/A,Dwarka,"Cutie Pie Kids, Plot No.219, Sector 19, Dwarka",Delhi,110044,India,https://www.myprivatetutor.com/userfiles/centers/center1461749458.jpg,"Horse Riding, Arts & Crafts, Drawing & Painting, Pottery, Summer Camps","
	At Cutie Pie Kids, we follow unique international methods of teaching making the process of learning a fun and stress free experience. We always make sure to cater to the individual needs of the students. We are supported by our team of highly qualified and experienced instructors. We ensure that the children can take the first steps of their life firmly. We believe in the capability of each child and we serve as a supporting hand guiding them in the right path. At our institute children are able to experience a joyful and cheerful environment where they can freely express their emotions."
Bluesky Immigration & Students Consultancy Services                  ,N/A,N/A,Patel Nagar,3/8 Basement East Patel Nagar,Delhi,110008,India,,"OET, PTE, Study in Australia, TOEFL","
	Our institute giving opportunity to Indian students study in abroad , we counsel them Australian courses and university"
Ib Ncr Academy                  ,N/A,N/A,Green Park,"Green Park, New Delhi, 110030",Delhi,110030,India,https://www.myprivatetutor.com/userfiles/centers/center1465303902.png,"Mathematics, Physics","
	The International Baccalaureate Diploma is recognized as an international pre-university education preparing students for a globally competitive age in an environment surrounded by international schools. We the team of IB NCR ACADEMY is well trained and experienced with Curriculum of The International Baccalaureate Diploma. We provide both offline tuition and online tuition. We have team of wide range of faculty who covers all the major subjects of all groups."
Bgic Institute                  ,N/A,N/A,Mahavir Enclave,"Rz B, 22 A, Palam Dabri Road, Mahavir Enclave, Delhi, 110045",Delhi,110045,India,https://www.myprivatetutor.com/userfiles/centers/center1465033492.jpg,"Algebra, Computer Science, English, Mathematics, Social Studies","
	BGIC Institute an innovative educational Group in India. The BGIC has consistently displayed full awareness of its social responsibilities. We believes that Education is the cornerstone to economic development and which alone can assist build India into a developed nation. BGIC is an institute with total commitment to quality education and excellence in academic pursuits. We offer a wide range of Under-Graduate & Post Graduate Degree Courses along with different Job-Oriented Diploma and certificate courses as per the latest trends and market requirements. INDIA has a fast-paced life and the youth of today is not satisfied with just pursuing studies. Here people start following their dream profession early in their career and this is where the role of distance education comes in order to cater the need of those students who want to get professionally and academically educated simultaneously. BGIC is the only door to knock established in 2011 with only motto of providing best education facilities to desired candidates Mrs. SUDESH BERRY started this institute . We are one of the Best B.Ed, D.Ed Admission Consultant in INDIA and through us student get direct B.Ed, D.Ed Admission in top ranking Indian Colleges. We are also offeres professional programme like B.A, M.A , B.Com, M.Com, BBA , MBA, BCA, MCA, B.Tech, M.Tech, B.Sc, M.Sc, B.Ed(R) & many more. Special emphasis is given to the academics as well as on the overall development of students to make them hardcore professionals. At BGIC, we are also earning goodwill by delivering the promised performances and by adopting best practices & systems."
Ij Institute                  ,N/A,N/A,Delhi Cantt,"Rz-117, Gali-1, East Sagarpur, 
Delhi Cantt, Delhi, 110046",Delhi,110046,India,,"Biology, Chemistry, Mathematics, Physics, Social Studies","
	At a IJ Institute, the child benefits from a curriculum that has been synchronized with the C.B.S.E. Board System and is updated to include the latest continuous and comprehensive evaluation. From enrollment to exams and student personality development, our students are mentored by teachers with a proven track record, who have been hired by our educational board after an exhaustive screening and selection process. IJ Institute prides itself in having faculty of the highest caliber, as we believe they form the backbone of our learning center. We ensure that our faculty inherently displays values, which are synonymous with institute, namely patience, approachability, confidence, result orientation and an unbiased attitude. Our centers are equipped with best infrastructure with clean and well lit classrooms running on optimum batch size to ensure attention to the needs of each child. Within the classroom, learning is simplified by Technology-Aided Teaching as well as having study material and study notes collated by teachers who have demonstrated years of subject expertise."
National Institute Of Business Studies (nibs)                  ,N/A,N/A,Paschim Vihar,"Plot No-2, 2nd Floor, Avtaar Enclave, Paschim Vihar, Opp. Metro Pillar No 225, New Delhi, 110063",Delhi,110063,India,https://www.myprivatetutor.com/userfiles/centers/center1463402112.jpg,"BBA, MCA, B.Tech, MBA, BCA","Plot No-2, 2nd Floor, Avtaar Enclave, Paschim Vihar, Opp. Metro Pillar No 225, New Delhi, 110063"
Vidya Academy                  ,N/A,N/A,Dwarka,Dwarka Mor Metro Station,Delhi,110059,India,https://www.myprivatetutor.com/userfiles/centers/center146339288816138.jpg,CA - CPT,"
	Vidya Academy as an institute providing education to students from school level to college level. We not only provides quality education but also develops the students and make them understand how to be successful in professional life."
Lakshya Education Point                  ,N/A,N/A,Shahdara,"1/7072, Balbir Nagar Ext, St. No 16 , Shahdara",Delhi,110032,India,,"Accountancy, Business Organisation, Business Studies, Commerce Subjects, Economics","
	The said institute is dedicated for economics and commerce students who are rally what to get high level of understanding . Our passionate teacher helps you in all area of studies including motivating ,technical help, and become your mentor."
Dis Classes                  ,N/A,N/A,Alakananda,"J-3/ B 21,dda Flats, Janta Market Alaknanda Kalkaji, New Delhi -110019.",Delhi,110019,India,https://www.myprivatetutor.com/userfiles/centers/center1462784657.jpg,"Biology, Botany, Chemistry, Mathematics, Physics","
	DIS CLASSES founded in the year 2005, is offering 9th to 12th Science, Math, B.Sc, B.tech, diploma, PMT/IIT, NTSE, Olympiad preparation. DIS aims at all round development of the students through awareness and progressive thinking. It provides a congenial environment, inspirational and devoted teachers, and vision towards the education among the students. The institute has well qualified faculty drawn from Punjab University, Punjabi university, Kurukshetra University, MKU and Punjab technical university. The students of DIS CLASSES are studying in Delhi University, DTU Delhi, IIT, NIT, IP University , MBBS and at various well reputed institute in India. DIS CLASSES put its best efforts with the help of committed faculty and the students for the growth and progress. Our vision is to reach at the top-most position in coaching, but not alone, but also with our respected team workers, teachers and all our students so that everyone feels proud of reaching at the top position. We want to serve India in the field of education with our relevant and expert coach. We want to reach in areas, where students still feel lack of right coach due to lack of education and money. Real growth of India is there, where we walk together from remote area to urban. Our vision is to help students and parents from class nursery to post-graduation in the field of coaching and educational counselling needs."
Engineering For Kids                  ,N/A,N/A,Lajpat Nagar,"Learning Place International Preschool, 37 Link Road, Lajpat Nagar 3 Lajpat Metro Station",Delhi,110024,India,,"Basic Computer, Robotics","
	Engineering for Kids is a fast growing educational institute offering a wide range of fun and engaging STEM enrichment program for young children. We help and inspire children to understand that engineering is a great career. Now a days in a globally competitive economy, employers of all shapes and sizes are increasingly seeking workers skilled in science, technology, engineering, and math. Supply is low and demand is high. We aim to be a major part of the solution to this problem."
Vidya Academy                  ,N/A,N/A,Dwarka,"BUILDING NO.29, SEWAK PARK, UTTAM NAGAR, NEAR DWARKA MOR METRO STATION, METRO PILLAR NO. 773",Delhi,110059,India,https://www.myprivatetutor.com/userfiles/centers/center146252286116048.jpg,"CMA-CPA-ACCA-CIMA, CS - Foundation","
	We are in education sector from last 8 years but experience of teaching is from last six years. I was working with Amity University, Noida as Guest Faculty for, Stratgic Mgt and Personality Development. I was working for 3 month permenent professor in Bharati Vidyapeeth University Pune in 2012 for BBA and MBA students. Right now I have my own Academy namely Vidya Academy in Dwarka where I give coaching for 8th to 12 standard(whole subjects), BA general, BA Psychology, philosophy, computer science, B.Ed, M.Ed, MBA and BBA."
Aero Sapiens                  ,N/A,N/A,Dwarka,"Dwarka, Delhi",Delhi,110044,India,,Robotics,"
	Aero Sapiens is a unique educational institute started with the prime objective of promoting Aeromodelling Education in Schools and Colleges. We conduct various year-round programs, aeromodelling camps and workshops in various schools and colleges throughout India. We provide our students with a unique program which is a combination of Aeromodelling and Career Counselling in the fields of Aviation."
Robotech Labs                  ,N/A,N/A,Sadar Bazaar,"5378/3, Ist Floor, Sadar Bazar, New Delhi",Delhi,110006,India,,Robotics,"
	Robotech Labs was established with the prime objective of integrating real world ideas with the latest in technology. We always strive to bring relatively newer frontiers of science and technology to its customers. Robotech Labs has the most important ingredient for a successful venture that is the right blend of talent and experience."
One Mile Academy Pvt. Ltd.                  ,N/A,N/A,Ashok Vihar,"372, Iind Floor, Kohat Enclave, Pitampura, Delhi - 110034, Near Kohat Enclave Metro Station",Delhi,110034,India,,"AIEEE, Chemistry, IIT JEE, Mathematics, Physics","
	One Mile Academy Pvt. Ltd. as an institute cater to the school level subject and segment and as well as indulging itself to engineering subject and segment."
Dgd Educations                  ,N/A,N/A,Rohini,211 RG Mall Opposite Dharamkunj Appartment Sec-9 Rohini,Delhi,110085,India,,"Accountancy, Business Studies, Economics, English, Mathematics","
	The mission of our institute to serve the interests of all prospective commerce student by providing professional integrity, quality standards and world-class education for them to succeed professionally in life."
Pratham Shiksha Institute                  ,N/A,N/A,Pandav Nagar,C-13/C Pandav Nagar Opp. Mother Dairy Near Radha Krishna Mandir,Delhi,110092,India,,Computer,"
	Pratham Shiksha Institute is welcoming you to a rich experience of learning. We have a wide variety of courses offered by experts of the field through well designed programs."
The Martial Arts & Fitness Academy India                  ,N/A,N/A,Janak Puri,"Janakpuri,opposite Of Janak Cinema,Near Desu Stand,New Delhi",Delhi,110058,India,,Summer Camps,"
	We recommend all martial arts, as they can all engender a feeling of self worth - provided you are training with the right instructor. We are qualified to teach Martial arts Taekwondo, Kung Fu, Self Defence, Karate, Krav Maga, Wing Chun,Al Hara Meditation and Kickboxing, Muay Thai. etc. in New Delhi India. The Martial Art and Fitness Academy of India has classes for complete beginners and experienced students and is the only school in New Delhi India. You are welcome to clearly define your own goals. We promise to help you achieve them. Each individual's progress is very important to us - and we recognize that we all have different needs and preferences. Please note that martial art training within our academy is highly controlled."
Institute Of Accounts                  ,N/A,N/A,Mahavir Enclave,"Rz/a-34 Mahavir Enclave, Mandir Marg, Near Pandey Book Depot",Delhi,110045,India,,Commerce Subjects,"
	As an institute we are established to serve our clients with best of education. Out intensive coaching program is dealt with diligence and support for superior leaning"
Barry John Acting Studio                  ,N/A,N/A,Lajpat Nagar,"32, Ring Road, Lajpat Nagar I V, Delhi",Delhi,110024,India,https://www.myprivatetutor.com/userfiles/centers/center1461749341.jpg,Speech & Drama,"
	Barry John Acting Studio is a unique acting and drama training organization working with the goal of spreading the knowledge and growing the interests of individuals in the field of theatrical and media arts through our training services. Apart from the normal training sessions we also conduct various workshops for various production houses. We offer intensive courses and program which are conducted during weekdays and also weekends. Along with the we also organize and conduct various summer camp workshops for children."
Afl Academy                  ,N/A,N/A,Dwarka,"C-360, 1st Floor, Ramphal Chowk, Sector-7, Dwarka, Delhi",Delhi,110075,India,https://www.myprivatetutor.com/userfiles/centers/center1461749315.jpg,Language,"
	AFL Academy is a well reputed educational institute established by a team of like-minded, creative and dedicated professionals from different disciplines. Our objective is to help children develop their critical thinking and language skills by making the process of learning fun, fast and fruitful. "
Sigma Math Achievement Center                  ,N/A,N/A,Dwarka,"Sector-6, Near MTNL's Telephone Exchange, Dwarka",Delhi,110075,India,,Mathematics,"
	We at Sigma Math Achievement Center support and promote a math learning environment in which secondary and senior secondary students may develop to their fullest potential. We as an institute is here to serve you and do everything possible to assure that you are successful in your studies."
Webchamps It Solutions                  ,N/A,N/A,Malka Ganj,"B1/1, G F, Malka Ganj, New Delhi",Delhi,110007,India,https://www.myprivatetutor.com/userfiles/centers/center146116422215873.png,"Advanced Excel, Basic Computer, Computer for official job, MS Office, School level computer","
	WebChamps IT Solutions is a well reputed educational institute started by a team of IT Professionals. We offer all major computer courses from basic courses to mobile application development. We utilize the most effective methods of training that suits the diverse range of educational requirements of students. We always try to keep pace with the rapid advance global IT market and update ourselves accordingly"
O2i.tech                  ,N/A,N/A,Mayur Vihar,"C-54, Sector 2, Noida, (U.P) , Near Sector 15 Metro Station.",Delhi,201301,India,https://www.myprivatetutor.com/userfiles/centers/center146156220215867.jpg,"3D Printing, Coding & Programming, Laser Cutting, Robotics, Science Projects","
	O2i Tech is an advanced engineering company focused towards innovative product design & development, 3D printer machinery & services (FDM, SLA, SLS), reverse engineering and functional prototyping also provides advanced engineering solutions. The company has a strong team of highly experienced and qualified professionals who are willing to undertake new projects and challenges with the motto of on time delivery and zero compromise on quality product. The company has undertaken and successfully completed national and international projects of reputed companies and organizations like JCB, Yamaha, Samsung, Honda, Golchi, MSME, IIT Delhi & Guwahati, Indira Gandhi Delhi Technical University for Women etc."
Eb Club                  ,N/A,N/A,Vasant Kunj,"10 - 11, Nelson Mandela Marg, Vasant Kunj, New Delhi",Delhi,110070,India,,"Language, Personality Development","
	EB Club is a well reputed educational institute offering programs in English language, Personality development, Speech and drama sessions and many more. We are proficient at designing creative and stimulating lessons, which can accommodate multiple students, as well as keeping them interested and focused."
Flow India                  ,N/A,N/A,Lado Sarai,"Flow India F-208, Lado Sarai, New Friends Colony, Delhi",Delhi,110017,India,,Personality Development,"
	Flow India is a unique educational institute helping young students to develop the confidence of asking big questions and having the capability the answers all by themselves. We aim to increase their appetite for knowledge and and build their capacities for discovery. We aim to keep our lessons both challenging and engaging for students. We try to present multiple invention and discovery techniques like brainstorming, clustering."
Habile Academia                  ,N/A,N/A,Pandav Nagar,"103, 1st Floor, Nehru Complex, Plot No 9-b, Pandav Nagar, Delhi",Delhi,110092,India,,"Mental Maths, Personality Development","
	Habile Academia works with the prime objective of helping young children attain their full potential. We are committed towards making the process of education more meaningful, insightful and fruitful. We offer various Brain Enhancement and Empowerment Programme which ensures overall development of the students. We make sure that child gets an ability to achieve Challenging Goals."
Yankee Rockers                  ,N/A,N/A,Paschim Vihar,"A5/235 2nd Floor, Paschim Vihar, Delhi",Delhi,110063,India,,"Bharat Natyam, Kathak, Modern Bollywood Dance, Salsa, Western Dance","
	Yankee Rockers offer a variety of dance, Music and Fitness classes. We perfect at creating a mixture of classical Indian style and western dance forms. We also provide Home tutions and personal classes. Apart from this we are also conducting classes of Aerobics, Zumba, Yoga, Power Yoga, Martial Arts, HIIT Work out, Cross Training etc."
Smartq                  ,N/A,N/A,Jasola Vihar,"Jasola Vihar, Sector 7 Near Living Style Mall, Delhi",Delhi,110025,India,,Speech & Drama,"
	SmartQ offers a wide range of Academic enrichment sessions ensuring the overall development of students. We think that positive reinforcement is useful to engage students in intimidating learning material. We have a friendly demeanor and are very interpersonal which we believe is a positive aspect in our training process."
Youth India Self Defence Karate Academy                  ,N/A,N/A,Shahdara,"M151, Sarovar Marg, Panchsheel Garden, Naveen Shahdara, Delhi",Delhi,110032,India,,"Judo, Karate, Martial Arts","
	Youth India Self Defence Karate Academy offers classes in Judo, Karate, Mixed Martial Arts and several other self defence sports and forms of Martial arts. We are committed to creating and maintaining an environment that welcomes everyone to improve gradually their fitness, health and wellness."
Sanshinkan Martial Arts And Fitness                  ,N/A,N/A,Janak Puri,"S4/42, Old Mahvirnagar Pillar No.553, Janakpuri, Delhi",Delhi,110018,India,,"Gymnastics, Martial Arts","
	Sanshinkan Martial Arts And Fitness offers Martial art and Gymnastic sessions for all age groups and levels. We are supported by a dedicated team of qualified instructors conducting and supervising all the activities. Our trainers are dedicated and committed towards imparting the best quality training service."
Shaolin Martial Arts                  ,N/A,N/A,Lado Sarai,"Near Maharaja Arts, Lado Sarai, Delhi",Delhi,110030,India,,"Karate, Martial Arts","
	Shaolin Martial Arts in a well reputed training center offering Martial Arts classes and Karate classes specially designed for children. Ensuring the safety of the students is one of our primary concerns and so we have proper first aid arrangements and facilities in our classes."
Aspire Mathematics Classes                  ,N/A,N/A,East Of Kailash,"107/12,3rd Floor, Amritpuri B, East Of Kailash
Near ISKCON Temple",Delhi,110065,India,https://www.myprivatetutor.com/userfiles/centers/center146080200015844.jpg,Mathematics,"
	Aspire Mathematics Classes is a well known brand for maths coaching classes. We are committed in delivering best of education and assist in attaining positive success. The training programs are designed to deliver value-based learning with individual attention and best learning support. The courses are directed by qualified faculties with their best gained experience and knowledge."
Kidz Club                  ,N/A,N/A,Tagore Garden,"Kidz Club, C - 6 Dda Market Tagore Garden Opp Djb Water Tank, Tagore Garden, Delhi",Delhi,110027,India,,"Mental Maths, Personality Development","
	Kidz Club is a unique educational institite offering courses specially designed for the development of kids. We offer training in Academic enrichment, Mental Maths classes, Other Enhanced Learning classes, Personality Development classes, abacus, advanced abacus, attitude, behavior management, brain development. Our purpose is to create a student-centered working relationship that builds on previous lessons, enables students to think critically."
Parkash Punj Vidya Sadan                  ,N/A,N/A,Shahdara,"Gali No 3, 4 Main Road, Bihari Colony, Shahdara, Delhi",Delhi,110032,India,,"Karate, Martial Arts","
	Parkash Punj Vidya Sadan offers Martial Art training sessions for individuals of all age groups. We as well as our trainers constantly strive to implement dynamic approaches to fitness to inspire every member to achieve their health and fitness goals and to realize their full potential. We offer a range of classes from which the students can choose the programs of their choice."
Rhythms                  ,N/A,N/A,Shahdara,"P-13, Navin Shahdara, Delhi",Delhi,110032,India,,"Judo, Karate, Martial Arts","
	Rhythms specializes in offering training in Martial Arts classes, judo, karate. Our classes are comprehensively designed in a manner where we training our students from the very basic level till the advanced levels in a gradual manner. We design our programs in a manner through which our students are benefited through out their life time."
Yamuna Sports Complex                  ,N/A,N/A,Vivek Vihar,"Vivek Vihar, Delhi",Delhi,110095,India,,"Badminton, Cricket, Swimming, Table Tennis, Tennis","
	Yamuna Sports Complex offers Tennis coaching, Swimming classes, Cricket coaching, Table tennis and training in various other sports activities. We have developed a wide range of courses which suit all ages, gender and level of play. We aim to offer the best service at an affordable cost."
Universal Academic Institute                  ,N/A,N/A,Jungpura,"49 Basement Masjid Road Bhogal, Jangpura",Delhi,110014,India,,"Accountancy, Economics, History, Mathematics, Political Science","
	Universal Academic Institute is a privately run academy of premier rank. Our faculty is experienced, dedicated and result-driven. We are the institute for school students where they will get good facility and calm studying atmosphere with a very high level of teaching. We will identify the strength and weakness of each student individually for their studies."
Aqua Fitness Associate                  ,N/A,N/A,Delhi Cantt,"Agcr Enclave, Karkardooma, Delhi",Delhi,110092,India,,"Gym, Swimming","
	Aqua Fitness Associate offers Gym and Swimming training sessions for all age groups and skill levels. All our trainers are dedicated and committed towards imparting the best quality training service. The students can learn in an atmosphere which is relaxed and respectful. Our primary objective is to ensure the ultimate fitness training experience to each and individual."
Hindustan Footbal Academy                  ,N/A,N/A,Ina Colony,"Ina Colony, Thyagaraj Sports Complex, Delhi",Delhi,110003,India,https://www.myprivatetutor.com/userfiles/centers/center1460982705.jpg,Football,"
	Hindustan Footbal Academy was established with the aim of making the game of Football famous among the youths and also to groom and develop budding football talents. We continue to look for innovative ways of promoting the game of football among the masses in every possible manner. Our trainers are well experienced in identifying the health issues faced by individuals and treating them in a customized manner."
Core Academy                  ,N/A,N/A,Shakarpur,"Flat 381 C, Vijay Veer Awas Sector 18a, Dwarka, Delhi",Delhi,110092,India,,"Mental Maths, Personality Development","
	Core Academy aws established with the objective to provide complete educational support to lyoung students and help them achieve their best. We mainly conduct training and tutorial sessions for the preparation of various exams such as Bank, SSC, Railway and many more. We always try to provide the exact knowledge and guidance for qualifying a particular competitive exam. Our faculties are well experienced and offers student friendly solutions that enable them to crack difficult exams with precision."
Brainobrain                  ,N/A,N/A,Dwarka,"Sec-7, B-214 Near Lenevo Showroom Ramphal Chowk, Dwarka, Delhi",Delhi,110075,India,https://www.myprivatetutor.com/userfiles/centers/center1460983160.jpg,Handwriting,"
	Brainobrain was started by a team of young and experienced professionals. We offer comprehensive training in Advanced Abacus, Neuro Linguistic Programming and Personality Development. We work with the aim to nurture young children and bring out the hidden talent in them. We find effective ways to get students to practically apply their skills, and their understanding of learned facts, to a real-world situation."
Brain Power Education Academy                  ,N/A,N/A,Rohini,"Sector 19, Rohini, Delhi",Delhi,110085,India,,"Handwriting, Language, Mental Maths, Speech & Drama","
	Brain Power Education Academy is a unique educational institute making continuous efforts and contributing to the cause of developing the mental ability of children of different age group. Oue speacially designed Abacus training classes have proven to be very helpful for the overall mental development of students. Students are able to solve complex calculation and algebric equation with much ease. We believe in providing a clear and logical reason for each new concept find an interesting way to remember that concept."
Sportsnextt                  ,N/A,N/A,Laxmi Nagar,"Laxmi Nagar, Delhi",Delhi,110092,India,,"Cricket, Martial Arts, Tennis, Volleyball","
	Sportsnextt offers training in Martial art, Tennis, Cricket and several other sport activities. All our trainers are certified by national and international federations. Over the past several years we have trained numerous students who have successfully represented us in both national as well as international level."
Rudra Dance Academy                  ,N/A,N/A,Laxmi Nagar,"D-31, Gali No. 2, Basement, Metro Pillar No. 35, Sai Mandir Gali, Laxmi Nagar, Delhi",Delhi,110092,India,,"Badminton, Chess, Western Dance","
	Rudra Dance Academy offers training in Dance, Aerobic, Badminton, Chess and Skating. We provide specialized solutions based on the needs of the students. We have developed a wide range of courses which suit all ages, gender and level of play. We aim to offer the best service at an affordable cost."
Martial Art Academy Of India                  ,N/A,N/A,South Extension-ii,"South Extension 2, Delhi",Delhi,110049,India,,"Karate, Martial Arts","
	Martial Art Academy of India offers Martial Art and Karate classes for children. We conduct classes for Beginner, intermediate as well as advanced levels of learning. Our excellent team of faculties are responsible and intensive guide individual students. All our trainers who are professional, committed and focused on their tasks."
Nach Baliye Sangeet Mahavidyalaya                  ,N/A,N/A,Nangal Raya,"90-91/ Second Floor Vipin Garden Near Dwarka Mor Opp. Metro Pillo No-798 Uttam Nagar, Delhi",Delhi,110059,India,https://www.myprivatetutor.com/userfiles/centers/center1460982789.jpg,"Karate, Martial Arts","
	Nach Baliye Sangeet Mahavidyalaya was established in Delhi and currently successfully running studios at Mumbai and Kolkata. We offer intensive Salsa training for students of all age groups. All our trainers are well experienced and place great emphasis on the techniques and correct interpretation of music. We provide provide quality education in Indian culture through the performing arts of vocal and instrumental music, classical and folk dances, theatre and film classes, languages; yoga and philosophies of India."
Ques Teach Education                  ,N/A,N/A,Mookherjee Nagar,133-type-3 MS Flats,Delhi,110054,India,,"Business Studies, English, Mathematics, Physics, Political Science","
	Ques Teach Education has been setup by academicians who are extremely passionate about education and believe in more than just teaching. We are dedicate to improve the quality of education currently being imparted to student who are about to choose their future careers. We believe in mentor ship and in facilitating our student in taking important career discussion."
